timestamp,gyrox,gyroy,gyroz,accelx,accely,accelz
2.095,64.54,-156.03,24.5,0.1464,-0.2332,-0.5299
2.111,50.61,-121.45,9.7299,0.0531,-0.179,-0.5372
2.129,42.0,-91.98,-0.77,0.0902,-0.263,-0.6509
2.147,28.28,-52.15,-0.84,0.3586,0.1473,-0.8271
2.165,15.47,-37.59,-3.5,0.4065,0.7676,-0.7022
2.183,15.75,-36.05,-12.53,-0.1254,-0.283,-0.9359
2.2,30.8,-20.86,-18.2,-0.2142,-0.5163,-1.239
2.216,51.1,-17.57,-22.12,-0.3635,-0.1844,-0.7349
2.234,65.5199,-46.27,-22.26,-0.1976,0.0844,-0.3528
2.249,68.11,-83.93,-24.15,-0.4557,0.3806,-0.3294
2.267,80.15,-149.59,-44.31,-0.8012,0.3699,-0.6402
2.284,82.32,-190.19,-53.69,-0.4367,0.1239,-0.2483
2.302,73.71,-207.41,-38.0099,0.3137,-0.4294,-0.3108
2.315,88.62,-211.75,-21.49,0.1337,-0.7466,-0.486
2.33,70.42,-210.35,-8.61,-0.0117,-0.71,-0.3982
2.345,64.4,-202.65,2.52,-0.1483,-0.4006,-0.2708
2.359,54.6,-190.96,13.44,-0.2825,-0.3479,-0.3967
2.388,51.87,-151.76,19.6,-0.8535,-0.6139,-1.1306
2.402,54.53,-117.04,15.82,-0.2884,-0.2337,-0.5045
2.418,53.76,-71.96,14.42,-0.649,-0.4801,-0.4704
2.434,46.62,-15.75,8.05,-0.6344,-0.1439,-0.7349
2.45,44.8,31.43,1.47,-0.7007,-0.3567,-0.9301
2.468,48.44,78.54,-6.02,-0.5865,-0.3806,-1.0365
2.485,52.0099,127.26,-13.65,-0.6666,-0.3411,-1.0706
2.5,53.55,174.7899,-22.54,-0.6968,-0.3518,-1.1033
2.515,54.32,231.98,-27.93,-0.6119,-0.4367,-1.1267
2.53,54.67,279.16,-29.89,-0.4767,-0.5782,-1.1155
2.546,52.99,333.06,-30.03,-0.3928,-0.6519,-1.077
2.564,48.16,378.91,-31.29,-0.2879,-0.6207,-0.975
2.582,31.85,431.55,-35.91,-0.2069,-0.5616,-0.872
2.597,22.61,445.97,-39.62,0.0273,-0.6158,-0.8339
2.612,12.74,440.58,-44.52,0.244,-0.6461,-0.7402
2.627,4.48,418.1099,-53.2,0.3699,-0.5426,-0.6705
2.643,-1.89,371.98,-64.54,0.4518,-0.4133,-0.5031
2.66,-3.29,306.81,-77.14,0.6261,-0.3742,-0.6309
2.676,2.38,209.93,-82.04,0.9369,-0.5094,-0.711
2.692,11.13,83.37,-80.57,1.0121,-0.5319,-0.6788
2.707,14.84,-34.79,-78.75,0.9301,-0.4465,-0.5397
2.722,12.11,-182.0,-76.86,0.772,-0.3782,-0.3967
2.74,-3.64,-347.34,-66.15,0.7027,-0.3445,-0.1912
2.756,-26.53,-526.89,-45.85,0.6768,-0.3782,-0.0268
2.774,-49.77,-684.04,-3.01,0.545,-0.4084,0.1503
