Unnamed: 0,AccXMean,AccXSD,AccXSkew,AccXKurtosis,AccXMin,AccXMax,AccYMean,AccYSD,AccYSkew,AccYKurtosis,AccYMin,AccYMax,AccZMean,AccZSD,AccZSkew,AccZKurtosis,AccZMin,AccZMax,GyrXMean,GyrXSD,GyrXSkew,GyrXKurtosis,GyrXMin,GyrXMax,GyrYMean,GyrYSD,GyrYSkew,GyrYKurtosis,GyrYMin,GyrYMax,GyrZMean,GyrZSD,GyrZSkew,GyrZKurtosis,GyrZMin,GyrZMax,TypeOfShot
70,1.0904982758620692,2.1105712957993625,-2.02808787373986,5.614608656571679,-7.4629,3.721,-3.444320689655173,3.763947501317651,-1.5063787425742343,1.7840979605396097,-15.959,1.0618,-0.7249120689655172,1.4561219505434084,-0.6478867379298693,1.8289798152945416,-5.6812,2.1164,-39.37257931034482,483.2069542171309,0.9155433203983828,1.2747505450386685,-991.76,1449.35,-67.11068965517242,551.5661675374389,-0.8670409013314904,1.5441731967566916,-1759.03,1104.6,11.092586206896556,527.6409064545451,-1.6072074878866978,1.7485262842420104,-1615.04,466.9,1.0
71,2.85551724137931,3.089973512671764,1.4294633274465314,1.4271006184603143,-0.4348,11.8291,-3.174003448275862,3.308856319655787,-0.6418199873723702,-0.8730090254843859,-10.3148,0.3899,0.3999913793103448,1.4644438393870851,1.4822577717976284,2.7168797852023463,-2.0871,5.813,-220.6399982758621,375.2168378974021,-0.6878218729353511,-0.3948074263108121,-1071.63,577.43,57.25878620689655,543.6390487697569,-0.9400037231387148,3.2946073770457645,-2121.35,1127.21,232.57499310344824,443.1637160372357,0.8568466763868914,-0.0522569078200394,-425.11,1308.02,2.0
72,0.6331017241379311,1.692750063072369,-2.8247448602046425,10.746297356799609,-7.1409,2.9724,-2.693468965517241,2.5533664959196787,-1.3619503447216244,0.7277374434814092,-10.0088,-0.4411,-0.4016344827586207,1.8183226952285871,-3.5911093418296924,19.31557875005952,-11.2649,2.1506,243.105175862069,352.0885869674887,0.4990111495883453,-0.1302193859256508,-248.22,1272.8101,73.66896379310343,284.5233707120388,-0.412318658267875,0.3231641930172304,-669.34,679.28,-133.07603103448275,283.5554782219195,-0.1276443837135571,-1.542136451337078,-692.02,256.97,1.0
73,0.7876758620689653,2.2085893993530354,-2.825153218021667,13.167119381376946,-11.2562,4.4637,-2.3641810344827587,2.222818991688869,-0.405751064520197,-0.2127661279740671,-6.8768,3.5843,0.5206275862068965,2.166721624768397,2.113605686095513,11.14831040182343,-6.0741,11.0815,-67.3629275862069,356.5606444810484,0.8568804830363185,0.0999457047027672,-708.61,796.74,-95.86017068965518,451.94194388779056,-0.5880555278559936,3.6534016933620848,-1618.61,1529.15,-76.95051896551723,404.3994492412948,-1.390407098466962,0.6956170945394469,-1121.1899,320.39,1.0
74,1.795851724137931,3.287004254754303,1.837886995531216,3.738580464217756,-1.4996,14.5058,-3.2572275862068967,3.4286495457920005,-0.6668998706959715,0.0361838620356769,-13.3838,2.2643,0.9962431034482758,1.36206407466276,0.0313585761062524,-0.9626345257815196,-1.3229,3.6648,-263.4667224137931,353.46349390285866,-0.61103072612435,-0.7078332058731709,-1067.92,446.11,85.79827586206896,349.5854405539068,-1.7203251857560142,7.243097186232454,-1468.11,910.91,67.80586034482758,410.4167307995728,-0.4474386870177523,-0.4696394328983726,-836.99,792.33,2.0
75,0.9175137931034484,0.8712064073986766,-0.5534076225669509,0.947557116577888,-2.0842,2.458,-3.0822517241379312,2.821609816694973,-1.2224980397100895,0.1792731261899756,-11.0971,-0.5543,-0.1223379310344827,1.041911438229258,-3.029300987128674,13.646975235213985,-5.855,1.1131,3.204310344827588,441.133892481215,0.73424593221557,0.8096643155052528,-978.39,1244.53,-164.57120689655167,438.327577554448,-1.8720568738434813,2.643348403232645,-1557.92,293.44,-90.16844137931034,498.9070261397471,-1.335332669679543,0.7267958017785934,-1463.0699,366.45,1.0
76,1.9732344827586208,2.0406204124668696,1.9430933560747767,5.031977785770417,-1.116,10.2338,-2.505098275862069,3.502517790325804,0.1123100580230593,0.2394776677728125,-8.9772,8.985,0.3540620689655173,3.2001617786060272,0.2565701968738397,10.178793978401115,-13.3682,14.7395,-196.0905172413793,436.4371569456901,-0.6010661391580134,0.0263388790416461,-1232.77,578.34,-1.272065517241382,394.5086094278109,-0.2373380865373912,0.2914126910686505,-1035.65,866.67,137.30258448275862,369.5359436518063,-0.0813303345875233,0.7353511781416873,-668.01,1070.58,2.0
77,0.7145758620689654,1.947112893341668,1.8347967039410336,12.01927528962664,-5.0166,10.9663,-3.2202689655172407,3.1204622073200503,-0.5457056813755772,1.9367870995777343,-12.9363,6.8905,-0.0143672413793103,2.383188597988428,2.2903764354466367,13.736007950791734,-6.5762,13.0174,258.74413793103446,380.6087786524264,0.1566626219152789,-0.3614460921710822,-360.57,1322.79,105.37292586206898,295.4980905768735,-0.5613037580119492,1.144206962141496,-695.38,846.86,-72.37396551724139,309.7006052917368,-0.2555402606686379,-0.930338321088072,-618.8,467.6,1.0
78,0.886394827586207,1.357696739845478,2.8225661569223743,12.598567601308504,-0.8496,8.2379,-2.899672413793104,2.238367989051714,-0.9056361438606682,-0.3004900750919037,-8.1871,-0.3913,-0.1033672413793103,1.0100749643378184,-0.6247873473788234,6.448895924552875,-4.3661,3.6141,18.45345172413793,428.9977024869148,0.5247844073513896,-0.3051824811514971,-779.59,991.34,-114.52603620689656,485.9723255337367,-1.9182796858835989,2.44472928608842,-1634.01,467.04,-113.94310344827586,299.2212538123904,-1.9519370733886257,2.8945313306456555,-1066.24,137.48,1.0
79,1.4255396551724138,1.4022060723337124,-1.6215977087370117,6.933164371810946,-4.5691,5.3353,-1.2423,1.7587283018292428,-0.3938250033853093,1.129403819646412,-5.8276,4.3475,0.2160896551724137,1.7397052938782926,0.4434606324545713,-0.0005702834473644,-2.7469,4.6691,-31.87534310344828,437.4041935515551,0.1533132487425827,-0.0756765601270288,-815.78,1141.49,15.02224137931035,421.6423404654921,1.1169553440745208,0.6680914752498426,-517.09,1230.53,128.79155,305.7650172081858,0.9019594787898052,0.5368335310355712,-278.74,964.53,1.0
